ts,A,B,C,D
0,119.22131555378287,36.4141278545414,180.0195821998675,150.22521391966126
1,122.14275140074231,36.458661967947556,175.91233588676292,148.98999096338738
2,119.78036053442621,35.95821095337823,177.90257293693176,148.50273298438645
3,122.89425080437944,36.38847201134558,179.22441335538397,147.69894940342706
4,124.26292585623746,37.68304956820506,180.25146040330137,147.31302882021433
5,125.16723137062931,37.219924845296845,176.94445372888083,147.5725641071685
6,122.73207354819827,36.358699505088836,179.08018954433325,146.92334200097886
7,119.67581456500494,36.4886259322829,179.54208801701495,147.17988317939486
8,125.07709966507565,36.15978893157328,177.4079096661947,147.4500032207323
9,125.1556841211221,35.136304253262594,178.88233522707804,146.87782314549383
10,123.90911467645941,34.791560164891465,181.7854983004695,147.48055068191871
11,121.95592190448569,34.71784418732368,179.3775095664633,147.73184567512894
12,122.84320821316267,35.455583898420464,179.422983143439,148.58221907184523
13,122.94765296949082,34.8336547843366,180.6020783410785,148.8041919248247
14,126.89719643567176,34.86376343219746,186.1537016239524,149.56190626529738
15,128.947011319205,34.89250441391096,182.86249052138925,149.44777554273355
16,130.45534449038448,34.59709673348104,183.38008736575827,149.88325454636848
17,131.48795048877147,34.05477860765311,181.39645781544306,149.41309379631267
18,128.36811641822382,33.363446865038924,180.19129605962945,149.63903035087563
19,128.46117795814487,33.72841846662764,182.28734031519278,149.2744305840216
20,125.35245450754331,33.008840623815736,181.36902541428202,149.2699217808514
21,124.31845456669092,32.578750077582,180.57227277609948,150.5837628448033
22,124.23911607982117,32.60086451775258,177.7354976454385,150.80274770871225
23,123.80159896127783,33.34021345675078,175.79192323128322,150.28099910621555
24,125.6700139514683,33.84960650357871,179.7731796003646,150.40445364869987
25,123.19290736973196,32.9743007144632,178.14856277785066,150.58772062113357
26,124.39805183348616,32.72034073796487,180.88594631938108,150.27532592563722
27,122.41066791952154,32.384424054670106,183.1947080429503,148.80407676738764
28,122.99153794143425,31.92645936931058,184.05970530130247,148.63415513569294
29,120.51377131789567,30.966163930599542,184.31816299120442,148.3159642602449
30,118.25007347788268,31.124297933290325,185.5728285714213,147.81462931792728
31,117.28817341823957,31.017169940839622,188.86480727550818,148.07739188861694
32,117.42479321832191,31.026335865637567,188.09940866325172,148.93067275185194
33,117.25724538954367,31.35545230837625,189.23681891009147,149.973926318762
34,117.60548955947215,31.084510825241598,187.9251726882848,149.99964649724944
35,115.75274217003074,30.383472818695918,181.57659413895914,149.7451098362077
36,116.5776264030917,30.10492979449681,184.4578609103111,149.85620902441988
37,114.16957738082282,29.577841777350926,185.11737283408326,148.9083102077093
38,114.75818153170637,30.210202573119233,185.30250397658682,148.79766921634348
39,111.45236655539847,29.737209625791394,180.716347618779,148.73162379197737
40,108.68887781323492,29.705445535884348,181.51171514115984,147.3173756724696
41,109.7216482427934,29.985366660012094,185.51488880053785,147.3940780493416
42,110.32437297372987,30.01426282455548,196.43917309907528,147.52686588458525
43,108.60566962258184,29.124731977722398,199.27363765622556,147.20013036874292
44,113.5401464133385,29.619744374307267,201.19034095532965,147.41027075862453
45,113.39482337101235,29.334033998797803,202.8106978833073,147.86850179734762
46,113.4292469289953,29.48130496807823,203.86689269545946,148.3299774230172
47,112.7385747912336,29.057075894877396,206.47885067124315,148.42970127561406
48,111.46786283666307,29.071532531966128,209.08962219243574,148.59852840391994
49,112.42250887975514,28.838489056562562,208.83248589694114,148.4842406999849
50,112.52826641294835,29.550812327907245,208.39790935583488,149.25955689928065
51,112.27904861783031,29.888994973865596,207.98654998303994,149.134798586608
52,109.72721228698302,29.38871459266059,207.29503566028043,148.31516688421942
53,106.15233136824024,28.854967755103342,208.9195846242887,147.84303611237286
54,102.96024769301846,28.174459164376508,212.79970530905658,147.29522403952348
55,102.6576612429363,27.954404741815107,212.1741352895115,146.41236726118944
56,104.36855110235079,28.080110283526054,207.42784754976802,146.53766581261905
57,103.05160011841967,28.134482100165112,205.63219904505243,147.7601222859616
58,101.9259275408024,28.104851897078856,203.03429906295068,147.23385975122773
59,100.16868216505024,28.487631817322264,200.9458606265444,147.3071057468302
60,103.80399209595085,29.385650344603388,198.68763358075253,147.19388330217453
61,99.23478982690254,28.75367628754747,199.74611314867894,146.78875500684038
62,96.9958669022511,28.537043111229004,201.4868819569443,147.2678226516902
63,99.50116966687618,29.41150736670096,206.3693130804956,146.5948001593122
64,96.43954586156043,29.148898755260465,207.4473949645037,146.33481920029402
65,95.33333969502836,28.775348308918865,204.05081734619606,146.35677597466804
66,92.40264210886134,28.03764942151782,207.587128611213,146.35351002879483
67,92.91997759929855,28.18544238932477,211.30920301760372,146.05099154118608
68,91.0079494829282,27.983291784116375,210.7439609747579,146.68894934396602
69,93.51802735915095,28.304902406043276,212.91893552328938,147.64799451324268
70,95.13163751850541,28.897182753297685,208.22722786870804,147.82222390725866
71,95.54350221816772,28.308469483527812,210.88647872715612,148.0172522960202
72,97.9631620502359,29.01056134805815,213.2778523526811,148.668324537962
73,96.37739992108179,29.061811757778088,212.95785019193426,148.13173198305748
74,96.01734139393557,29.073061792819587,212.01761560000202,148.4951004887182
75,94.09194764391876,28.29195806882633,215.45614475423687,148.43063508020174
76,93.0973308291573,28.226601218814864,217.88150371599122,148.08167702483996
77,93.09374728662081,28.278534799137923,221.22585993759995,147.58895635122263
78,94.12933795791507,28.687141248415063,223.88991223166533,146.53486139288268
79,95.55773396346835,28.852227778244814,225.3417156260009,147.49463534421125
80,93.91526131540608,28.485048832090282,221.3458423565967,146.90716370890962
81,92.8908729398513,27.87871647530314,220.3312251534553,147.00812388490434
82,94.4910867323758,28.159589999843323,221.76108577891821,146.74850084730238
83,94.68277626181246,28.246984633960064,219.85462758673188,147.06612767260387
84,92.36613911046982,27.93047448525981,219.52234633921572,146.44732299264192
85,89.89131344135266,27.22568298910604,217.56043727068402,145.52100856373875
86,90.56660525412043,27.497098057788698,218.35691889791696,147.23589873104763
87,88.88910447091784,27.19247285850687,213.68690024865967,147.60080366357897
88,83.55273998856543,26.9698436262162,211.15790878346277,148.5721292803474
89,84.06150296460012,26.591485270357275,212.91759494453208,149.3606591403232
90,82.868083223596,26.532154230075385,208.99230318124103,150.49361896964152
91,82.49681143215173,27.110919712170105,211.0488956725958,149.60618204146502
92,82.74990693960804,27.2915194660146,212.04017030277578,148.96439787368698
93,83.75270002807943,27.754179225685355,213.1984298551682,148.63430983360936
94,85.36551850164044,27.818037728269612,209.1856258785458,148.06623178872945
95,85.7493981309177,27.922662616089305,207.7308356412758,148.05527875967883
96,84.37218775532617,28.577714126613046,208.60982029826096,148.03534361582894
97,83.43405230509852,28.97436337643155,208.63995582940944,147.97900366131114
98,84.75462782510375,28.897570789638337,209.8564949980195,148.14788583345228
99,84.05747259656874,29.340849038765505,208.67205879698412,147.77884130318614
100,84.82652689571606,29.203613963576476,206.30341291881223,148.22624702470918
101,83.56833284640906,29.019706241052983,204.82750756926137,149.12159019290368
102,83.35809810891108,29.206810884346833,202.84013125241842,149.81622418832288
103,82.89446145607617,28.25376422270059,205.1242015091967,149.95453319063617
104,85.35008866889615,28.758349879025157,205.0429044123844,150.72266588057357
105,87.41153601518285,28.73703565377464,207.9734708535113,151.10469567770153
106,86.14277517677553,28.448201846853344,203.8652658113199,151.02547152195248
107,85.51071683672265,28.05384036790015,203.64405492571947,151.6872480866891
108,86.12990878418655,28.656477025098493,203.33456810576504,151.6213975424706
109,87.6613766800774,28.645739380534923,206.31845534474797,152.0944043778167
110,87.03994145648988,28.28992162733914,209.81138532965036,152.3490041939955
111,84.01789995606183,27.719311961087488,208.0471595373802,152.26469387167293
112,84.43551422090214,28.45531419875602,205.34338164717784,151.72959137287307
113,83.09592155148023,28.27568475848922,208.85413772154533,152.1025745775338
114,84.19282856810638,27.971582941013033,209.70517136047786,152.19430934715473
115,84.62065033885223,28.26357015103259,211.9660650363099,152.71342083706952
116,82.82772837266285,27.59779568298486,211.0032504176997,153.03197776871744
117,83.04621991219406,28.183378149955985,212.41836679519153,152.56983310883842
118,82.11122250932664,27.971962719818436,209.31429377783408,152.55117451298005
119,82.7040930098862,28.59475860289697,217.32646158845148,153.2925222279221
120,81.69667354230812,28.462919816633523,221.28056225988541,153.11526969118225
121,81.81277562576905,28.31311187681737,222.389425270341,152.97779189832062
122,80.25201216935751,28.753087839095322,224.7283299470946,153.79929621251432
123,81.23927706450166,28.298330590894782,223.39371749706257,153.44056808741914
124,79.68036164160394,28.625979376878703,225.30296220853754,154.25526707036855
125,80.41790768118196,28.891083213083586,221.04475769835804,154.61623942471664
126,82.70935523846236,29.27264004059956,219.4771073887212,153.99792991240162
127,82.84071397663814,29.076441415370162,225.727501003516,153.4680963417359
128,84.02448103571047,29.41444982258463,228.34494804919692,153.28665439340784
129,82.05242376914332,28.939200877979303,230.2113811999878,152.84829307579417
130,84.60063790385274,29.40684132159464,231.85061306150587,154.19650454940705
131,86.77286044700965,28.881014012030306,229.96291805774385,153.6306531790179
132,88.16271455282599,28.967709242860717,226.91931380589165,152.94454311697388
133,90.61959036877982,29.366976109767297,224.73154510985685,153.23815245631053
134,88.87401613368401,28.97254774075377,225.03542765037005,152.2022314537409
135,88.47571764696268,29.084590969246534,223.8888496960659,152.35211042080888
136,89.6550762821222,29.308514727885164,220.7751895110731,152.5761192441609
137,90.98158199706573,29.31963600497464,222.94872651823962,153.67430181547115
138,90.6431187179766,29.420052416388337,218.9218534462914,153.8601782586596
139,90.813059121226,29.431343759815277,213.10376757786423,153.56334188534632
140,91.97705555838093,29.789449465233652,210.20103581347072,153.758541002037
141,92.21138667269898,30.285578836445858,209.2363028164212,153.5301471749143
142,92.52275526696157,30.179204806936866,209.47162546792362,152.97697666026025
143,90.97796832843831,29.62477535992116,208.66130758904507,153.26687452129053
144,90.99442503613577,29.65460673973464,210.22885868661908,153.0504425565871
145,88.43730321262203,29.464403183820142,211.35886773130306,152.13242400668486
146,88.15791448919046,29.691942989368734,209.2705903097881,152.01684663782044
147,87.20961380924686,29.558716455592727,211.56067865533194,151.821206762471
148,87.18621462812501,30.059150732777326,212.1066306515176,151.54851784617262
149,86.3229540647493,29.745672756131892,212.99589445734986,152.57777402854842
150,86.69306215259084,30.130737536762215,215.6342114479125,153.4987388846651
151,88.23270560980413,30.533778919145682,213.78647564339403,153.6570050026903
152,87.5006798471502,30.621498071996314,211.60246317799937,154.66295636358637
153,86.0588847739524,29.792214790315686,211.22144191114646,153.36446130434905
154,84.81479039541888,30.221161784196095,209.66573162522138,152.23607893156318
155,86.91967240636745,30.547811122218878,207.82005145872364,152.611778792969
156,86.39851126663545,30.449400360013332,208.6678139740084,153.5886460621579
157,87.2030375578209,30.54702150526898,206.18327353908347,154.01895136857064
158,88.1709129691016,30.853677429443884,205.26799220552496,154.46342195753016
159,87.75604588804075,29.91613558112873,208.45755790524709,154.0686116276564
160,87.56441939121295,30.18721141917295,209.37041294556943,155.0000684344226
161,89.44023152273667,30.967373911110073,211.9946590402447,155.1441833077597
162,88.71638029352756,30.107938433834608,212.48663561682758,154.7183491603742
163,88.40140550770558,30.15742825197083,212.42548816465265,155.01820198044786
164,90.21567295718049,30.803832633962827,204.83592227416116,153.9522074464575
165,89.77495897746711,31.123384704272347,208.24464113905154,153.62571617429506
166,89.01171373669614,31.386833940904413,209.30572614784313,153.8197448855262
167,91.29681304861892,31.56446321600977,215.54372791986745,152.76902322116712
168,92.8583304124882,30.915482568238037,215.77072973028243,152.6184269100677
169,93.59949569338636,31.380616419661045,215.05751950484105,152.47582494924796
170,96.87684582519326,31.76222709049087,214.92654787857853,151.48353226137195
171,96.2664560450382,31.12201712513849,216.23950470283248,151.10387580787415
172,100.43696986747781,31.790196506403728,215.95347445162935,150.10016184223704
173,100.17421642716667,31.28648152295164,217.03313966102917,150.7245128697047
174,101.24262726343885,31.151984284282374,218.92558734082158,150.4692615427011
175,97.40727849771126,31.013387595571647,220.08097415520538,150.3979378634525
176,98.42864704006304,32.03558979981867,207.56150864132215,150.83449223204806
177,95.93643464448965,31.267595529918882,210.63248561777968,150.67083908136664
178,96.87681420308367,31.64961981644554,210.08783116208247,150.72641429401057
179,98.31201304396161,31.567992213104635,209.06499282061003,149.4722735600403
180,96.5078318168084,30.833118464280577,208.98477517603487,148.90210316102045
181,95.77352296340752,31.25579359869305,209.2056357713876,148.94987075101915
182,96.93383256540619,31.193530427575883,210.1693871683389,148.72940165807347
183,95.51696707150697,30.97404577914748,210.6828203718514,148.73615534504583
184,96.52147414010213,30.94610819310765,210.67598466427228,148.12403718536436
185,95.20005095577646,31.002977042013054,208.1425602510942,147.70440516629165
186,92.8073135962613,30.159085982937842,210.6249927237124,147.24661400399782
187,90.67901101579885,29.652889892992263,214.6726793642717,148.11495437435596
188,88.13735911119129,30.07897151981902,213.99901348473162,148.045151468971
189,90.20731827261395,29.93609466928281,212.6209231746061,148.5756079485184
190,91.51679716904049,30.669923098533324,213.79226455106237,148.37008296447462
191,90.7763725891446,30.55640285892806,216.34221922414434,148.02876854981488
192,89.2772579383617,29.55343574569813,215.1740582714367,147.7812363834791
193,88.02803990064452,29.14810178228811,219.723491836863,148.826476405506
194,87.70669348377125,29.11097857125513,218.4661065545862,148.88769274118258
195,85.44106632134167,28.78250524242343,220.32027308472186,148.61602777688418
196,86.36507727717236,29.033928413426754,219.4010012947562,149.39564955772786
197,86.82376386717048,29.804715117956217,222.38116600842176,149.36854676936647
198,87.94411008323549,29.94904513446143,220.34484106277097,149.6350186703707
199,86.07028413880523,30.07229016797875,224.90469826541286,149.97920276286294
200,85.19747906953398,30.10181510044111,221.17479574378245,150.79338309752362
201,85.16907828180383,29.917306089326534,222.42390087162798,150.7551287657851
202,84.81300258660235,29.3722306836503,218.23114893068012,150.05055965244273
203,84.76846271785872,29.77881281774417,215.8129386061877,150.28033462154494
204,86.89861734182887,30.19371340430091,215.27346672697456,149.8854003617209
205,86.96650468943895,30.542774267717324,216.7058598618749,150.16952176223458
206,87.91525390471462,30.384040328368254,215.734286956084,150.63352895138323
207,87.57000494091258,30.274832706914804,212.3849511884935,150.58200048396267
208,86.27376468631746,29.916930055198936,214.1709248656052,151.0023375964055
209,83.37473636655557,29.143312122807433,213.98716491370928,151.24328585344057
210,82.72260227172302,29.49819192722273,211.11984376997356,151.0314072002239
211,85.6413431749594,29.369675061358535,212.61548173350747,151.32587425175393
212,86.56422429468934,30.280658602831103,215.59660728255736,152.50041758105806
